Project Description,Location,Contractor,Cost,Completion Date
"Construction of Flood Mitigation Structure along Batutu River leading to Manat River, Barangay Banag-Banag, Montevista, Davao de Oro",DAVAO DE ORO,RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY),48999930.84,02/20/2023
"Construction of Revetment, Downstream and Upstream of Buayan Bridge along Buayan Creek, Quezon, Bukidnon",BUKIDNON,UY CONDEV CORPORATION (FORMERLY:UY CONSTRUCTION &,23520000.0,02/20/2023
"Construction of Sea Wall/Storm Surge Protection, Banate, Iloilo",ILOILO,"F. GURREA CONSTRUCTION, INCORPORATED",84636253.6,02/20/2023
"Construction of River Protection Structure along Victoria Ave. Road, Brgy. San Antonio, San Pedro City",LAGUNA,"ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP. / C.S. RAYOS CONSTRUCTION & GENERAL SERVICES, INC.",77199699.39,02/20/2023
"Rehabilitation of Flood Control Structure, Barangay Sta. Lucia, Quezon City",QUEZON CITY,LE BRON CONSTRUCTION,73288204.5,02/20/2023
"Rehabilitation of Existing Bank along Lucung River, D/S of Cutcut Bridge (Left and Right Bank), Capas, Tarlac",TARLAC,11-16 CONSTRUCTION,96483776.97,02/19/2023
"Construction of Flood Control Structure, Brgy. Cabituculan East, Maria Aurora, Aurora",AURORA,CONRADO B. BAUTISTA CONST. & SUPPLY CORP. (FORMERL,19600000.0,02/19/2023
"Construction of Flood Control Project along Ilagan River (Sta. 0+000 - Sta. 0+208), Brgy. Bangag-Manaring, City of Ilagan, Isabela",ISABELA,EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),44050000.0,02/19/2023
"Construction of Revetment along Binuangan Creek leading to Maco River, Sta. 0+400 - Sta. 1+200, Brgy. Binuangan, Maco, Davao de Oro",DAVAO DE ORO,C'ZARLES CONSTRUCTION & SUPPLY,48999826.55,02/18/2023
"Construction of Slope Protection Structure at Ulbujan-Camias-Cangguha-Sampoangon Road, Calape, Bohol",BOHOL,"CEBU 7H TECHNOCHEM INDUSTRIES, INC. / REBTRADE INTERNATIONAL CORPORATION",99000000.0,02/18/2023
"Construction of Flood Control Structures along Bislak River, Brgy. Canaam, 0+000-0+812, Vintar, Ilocos Norte",ILOCOS NORTE,ASIAN PEARL CONSTRUCTION & DEVT. CORP.,48343757.01,02/18/2023
"Construction of Revetment along Wawa River, Wawa Bridge Section, Agusan del Sur, Sta. 0+000.00 - Sta. 0+123.80, Bayugan City, Agusan del Sur",AGUSAN DEL SUR,ADFIL CORPORATION,26459996.92,02/17/2023
"Construction of Flood Mitigation Structures along river leading to Tubig Daku leading to Inambacan Cave and Spring, Busao, Maribojoc, Bohol",BOHOL,D' 5J CONSTRUCTION & SUPPLY,29400000.0,02/17/2023
"Construction of Slope Protection (River Drive), Molino 3 to San Nicolas 1 (Section) Phase 1, Bacoor City, Cavite",CAVITE,OMNICON BUILDERS,96427547.43,02/17/2023
"Construction of Slope Protection along Olongapo-Bugallon Road, Salaza Section (Phase 3), Palauig, Zambales",ZAMBALES,STO. CRISTO CONSTRUCTION & TRADING INC. (FOR: STO. CRISTO CONSTRUCTION & TRADING),96482482.65,02/17/2023
"Construction of Slope Protection of Rodolfo C.G. Fariñas, Jr. Science High School, Barangay Vira, Laoag City, Ilocos Norte",ILOCOS NORTE,JCA CONSTRUCTION AND CONSTRUCTION SUPPLY,29699636.24,02/17/2023
"Rehabilitation of San Juan River, Phase V, Quezon City",QUEZON CITY,MSB VITUG CONSTRUCTION,77323411.0,02/17/2023
"Construction of Revetment Wall/Sheetpiling of Moonwalk Creek from Don Galo River - Moonwalk Creek Junction to Armstrong Phase 2, Brgy. Moonwalk, Parañaque City",PARAÑAQUE CITY,MACSTRENGTH CONSTRUCTION,29399024.81,02/17/2023
"Construction of Drainage Structure along Angalan Creek, Tugbok District, Davao City",DAVAO DEL SUR,AIMEK CONSTRUCTION AND SUPPLY,19299981.53,02/16/2023
"Construction of River Protection Structure at Brgy. Loma, Biñan City, Laguna (Phase 1)",LAGUNA,ST. TIMOTHY CONSTRUCTION CORPORATION / M.T. MALIUANAG CONSTRUCTION SERVICES,96353531.2,02/16/2023
"Construction of River Protection Structure at Brgy. Loma, Biñan City, Laguna (Phase 2)",LAGUNA,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,96405046.39,02/16/2023
"Construction of Flood Control Structures along Bulo River Sta. 01+000 - Sta. 01+880 (Right Side), San Miguel, Bulacan",BULACAN,IM CONSTRUCTION CORPORATION,98996230.29,02/16/2023
"Construction of Flood Control Structures along Bulo River Sta. 25+090 - Sta. 25+980, San Miguel Bulacan",BULACAN,JAGONBUILD CONSTRUCTION CORP. (FOR. JAGON BUILDERS,96495644.65,02/16/2023
"Construction of Flood Control Structure along the bank of Ganano River, Sta. Cruz, Alicia, Isabela",ISABELA,MAR-DEB CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY: MAR-DEB CONSTRUCTION & DEVELOPMENT),41495256.89,02/16/2023
"Construction of Cagayan River Flood Control Project, Brgy. Villa Domingo, Angadanan, Isabela",ISABELA,JANN-NORRIS CONSTRUCTION AND SUPPLIES INC. (FORMELY: JANN-NORRIS CONSTRUCTION AND SUPPLIES) / INFINITUM 888 CONSTRUCTION AND DEVELOPMENT CORPORATION,34292686.14,02/16/2023
"Construction of Cagayan River Flood Control Project, Brgy. Napaccu Grande, Reina Mercedes, Isabela",ISABELA,A. DE GUIA CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: A. DE GUIA CONSTRUCTION),95057153.07,02/16/2023
"Construction of Riverbank Protection Structure along Sinocalan River, Barangay Bacayao Norte, Dagupan City, Pangasinan",PANGASINAN,BET CONSTRUCTION & SUPPLY,47539279.87,02/16/2023
"Improvement of Slope Protection of Sapang Buwaya Creek Near Annex 31 Subdivision (Phase VII), Brgy. Marcelo Green, Parañaque City",PARAÑAQUE CITY,RAICON DEVELOPMENT CORPORATION (FORMERLY : RA IGNACIO CONST. CORP.) / P.L.G.L. CONSTRUCTION,48993324.65,02/16/2023
"Improvement of Slope Protection of Sapang Buwaya Creek Near Annex 31 Subdivision (Phase V), Brgy. Marcelo Green, Parañaque City",PARAÑAQUE CITY,RAICON DEVELOPMENT CORPORATION (FORMERLY : RA IGNACIO CONST. CORP.) / P.L.G.L. CONSTRUCTION,48996552.93,02/16/2023
"Construction of Drainage Outfall, Barangay Tumana, Marikina City",MARIKINA CITY,STAR WILLIAM CONSTRUCTION / W. GOMEZ TRADING AND CONSTRUCTION,46525618.35,02/16/2023
"Construction of Palanas Flood Control, Albuera, Leyte",LEYTE,EZJONES CONSTRUCTION INC.,49499997.74,02/15/2023
"Construction of Flood Control Structure, Loboc River, Villaflor, Loboc , Bohol",BOHOL,"N.N. YU CONSTRUCTION, INC. (FORMERLY: YU CONSTRUCTION)",40179948.69,02/15/2023
"Construction of Revetment Wall along Ibajay River, Brgy. Laguinbanwa, Ibajay, Aklan",AKLAN,SOLID MERCHANDISING / ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,86849994.7,02/15/2023
"Construction of Drainage System along Botong Francisco Ave. Ext. Brgy. Mahabang Parang, Angono, Rizal",RIZAL,AARCON BUILDERS,44510754.03,02/15/2023
"Construction of Flood Control Structure along Catanauan River (Sta. 2+000 - Sta. 2+375 Right-Side) Catanauan, Quezon",QUEZON,ST. GERRARD CONSTRUCTION GEN. CONTRACTOR & DEVELOPMENT CORP. (FORMERLY:ST. GERRARD CONSTRUCTION),54879864.36,02/15/2023
"Construction of River Protection Structure along San Cristobal River, (near Looc Bridge), Brgy. Looc, Calamba City, Laguna",LAGUNA,ST. GERRARD CONSTRUCTION GEN. CONTRACTOR & DEVELOPMENT CORP. (FORMERLY:ST. GERRARD CONSTRUCTION),80693065.75,02/15/2023
"Construction of Revetment/Floodwall at Brgy. Biñan, Biñan City, Laguna",LAGUNA,M.T. MALIUANAG CONSTRUCTION SERVICES,29377630.73,02/15/2023
"Construction of Sorioan River Control Structure, Salcedo, Ilocos Sur",ILOCOS SUR,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,48999995.79,02/15/2023
"Construction of Relief Pumping Station at Mayers Creek, Brgy, Lingunan, Valenzuela City",VALENZUELA CITY,MIGHTY CONSTRUCTION & DEVELOPMENT INC.,23689711.72,02/15/2023
"Construction of Flood Control River Wall along Lingahan Creek (Left Side Bank), Barangay Coloong, Valenzuela City",VALENZUELA CITY,"TOUGHBUILT CONSTRUCTION & TRADING, INC.",47382259.09,02/15/2023
"Construction of Flood Control River Wall along Lingahan Creek (Right Side Bank), Barangay Coloong, Valenzuela City",VALENZUELA CITY,"TOUGHBUILT CONSTRUCTION & TRADING, INC.",47386189.83,02/15/2023
"Closing of Gaps along Malabon-Navotas & Tullahan River, Malabon City",MALABON CITY,"NEWBIG FOUR J CONSTRUCTION INC., (FORMERLY FOUR J",90661657.44,02/15/2023
"Construction of Drainage System at Poblacion, Tubod, Lanao del Norte",LANAO DEL NORTE,MAMSAR CONSTRUCTION AND INDUSTRIAL CORPORATION,53075000.0,02/14/2023
"Construction of River Control Structure along Banica River, Valencia, Negros Oriental",NEGROS ORIENTAL,PHILSOUTH BUILDERS INC (FORMERLY:PHILSOUTH BUILDERS),49000000.0,02/14/2023
"Rehabilitation of Canalum River Control, Upstream B, Bayawan City, Negros Oriental",NEGROS ORIENTAL,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),42826000.0,02/14/2023
"Construction Flood Control Structure, Calmayon River, Poblacion, Jagna, Bohol",BOHOL,LABB CONSTRUCTION DEVELOPMENT INC. (FORMERLY: LABB CONSTRUCTION),48913198.93,02/14/2023
"Construction of Naga City Flood Control - Upstream, Naga City, Camarines Sur",CAMARINES SUR,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,52139326.92,02/14/2023
"Construction of Flood Control Structure of Mabilo II, Labo, Camarines Norte (Labo River)",CAMARINES NORTE,EUS CONSTRUCTION,19014625.6,02/14/2023
"Construction of Malitbog River Control Structure (Downstream), Bongabong, Oriental Mindoro",ORIENTAL MINDORO,ALBERTO UY CONSTRUCTION & DEVELOPMENT,48999912.4,02/14/2023
"Construction of Slope Protection along Quiapo River, Brgy. Pahinga Norte to Brgy. Poblacion, Candelaria, Quezon",QUEZON,RAPID FOREMOST CONST. CO.,77199999.9,02/14/2023
"Construction of Flood Control Structure, Barangay Muzon, Dulong Bayan, San Jose Del Monte, Bulacan",BULACAN,FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO,39194488.63,02/14/2023
"Construction of Drainage System, Barangay Camputhaw ,Cebu Cty",CEBU,M.C. BUYSER CONSTRUCTION & SUPPLY,4939939.5,02/13/2023
"Construction of Waterway Structure along Sibud Creek, Bago City, Negros Occidental",NEGROS OCCIDENTAL,SILVER DRAGON CONSTRUCTION & LUMBER & GLASS SUPPLY INC.,48563891.77,02/13/2023
"Construction of Igbaras River Control, Igbaras, Iloilo",ILOILO,TOPMOST DEVELOPMENT & MKTG. CORP.,29106048.36,02/13/2023
"Construction of Flood Control along Aslum River (Delta Permanent Opening), Barangay Aslum, Ibajay, Aklan",AKLAN,ALCEL CONSTRUCTION,19799567.39,02/13/2023
"Flood Control along Agbago-Aslum River, Ibajay, Aklan",AKLAN,EC BUILDERS,14845000.06,02/13/2023
"Construction of Milagrosa River Control, Castilla, Sorsogon",SORSOGON,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,67548745.83,02/13/2023
"Construction of Siffu River Flood Control Structure (Camaal Section Phase II), Brgy. Camaal, Quirino, Isabela",ISABELA,DANYSONS CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: DANYSONS CONSTRUCTION),41506893.72,02/13/2023
"Construction of Combado Flood Control, Combado, Maasin City, Southern Leyte",SOUTHERN LEYTE,ON POINT CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY:ON POINT CONSTRUCTION),19776940.86,2/12/2023
"Rehabilitation of River Protection Structure along Bulusan, Calumpit, Bulacan",BULACAN,ST. TIMOTHY CONSTRUCTION CORPORATION,96498200.7,2/12/2023
"Construction of Bulihan-Longos Creek, Malolos City, Bulacan",BULACAN,FRAMECON BUILDERS,48998604.86,2/12/2023
"Construction of Revetment along Agusan River Basin, Esperanza Section, Agusan del Sur",AGUSAN DEL SUR,ADFIL CORPORATION,115032425.16,2/11/2023
"Construction of Flood Control Structure along Hamtic River, Brgy. Caridad - Brgy. Igbical, Hamtic, Antique",ANTIQUE,IBC INTERNATIONAL BUILDERS CORPORATION,28945395.97,2/11/2023
"Rehabilitation/Improvement of Guagua Pasak River, Phase 3, Guagua, Pampanga",PAMPANGA,FERDSTAR BUILDERS INC. / CEDAR CONSTRUCTION,96489698.91,2/11/2023
"Rehabilitation of San Juan River (Phase IX), Quezon City",QUEZON CITY,HALREY CONSTRUCTION INC.,27759373.96,2/11/2023
"Rehabilitation of San Juan River (Phase X), Quezon City",QUEZON CITY,R2CG BUILDERS INC. (FORMERLY: RRCG 8639 BUILDERS INC.),23180635.76,2/11/2023
"Rehabilitation of San Juan River (Phase VIII), Quezon City",QUEZON CITY,R2CG BUILDERS INC. (FORMERLY: RRCG 8639 BUILDERS INC.),27810536.88,2/11/2023
"Construction of Revetment along Talomo - Puan Bypass Bridge Upstream, Right Bank, Davao City",DAVAO DEL SUR,GENESIS88 CONSTRUCTION INC.,96500000.0,2/10/2023
"Construction of Revetment Wall along Aklan River, Brgy. Palale, Banga, Aklan",AKLAN,"UNITEC BUILDER, INCORPORATED",49954779.27,2/10/2023
"Construction of River Protection Structures at Telegrapo River, Lidong, Sto. Domingo, Albay",ALBAY,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",95535000.0,2/10/2023
"Rehabilitation/ Improvement of Revetment along Quinale River, Downstream of Comun Bridge, Left Side, Brgy. Comun-Ogob, Malinao, Albay",ALBAY,MAKAPA CORPORATION,101325000.0,2/10/2023
"Construction of Sumangga Flood Control Structure, Mogpog, Marinduque",MARINDUQUE,JEDIDIAH CONSTRUCTION,24729962.75,2/10/2023
"Construction of Flood Control Structure along Catanauan River (Sta. 1+625 - Sta. 2+000) Catanauan, Quezon",QUEZON,RAPID FOREMOST CONST. CO.,68997500.0,2/10/2023
"Construction of Flood Control Structure along Catanauan River (Sta. 3+625 - Sta. 4+000) Catanauan, Quezon",QUEZON,RAPID FOREMOST CONST. CO. / JELCON-CONSTRUCTION AND TRADING CORPORATION,68997500.0,2/10/2023
"Construction of Slope Protection along Lagnas River (Downstream - Package 4), Sariaya, Quezon",QUEZON,JEMAK CONSTRUCTION & SUPPLY / FREPA BUILDER AND CONSTRUCTION SUPPLY,49000000.0,2/10/2023
"Construction of Flood Control Structure, San Jose River, San Jose Del Monte City, Bulacan",BULACAN,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,94569849.55,2/10/2023
"Construction of Lucban Flood Control Structure along Abulug River, Lucban, Abulug, Cagayan",CAGAYAN,JC PALOMO CONSTRUCTION & CONSTRUCTION SUPPLY / C.T. LEONCIO CONSTRUCTION & TRADING,43120000.0,2/10/2023
"Rehabilitation of Tullahan River and tributaries, Fairview, Novaliches, Quezon City",QUEZON CITY,E.L. TORRES CONSTRUCTION AND TRADING INC. (FORMERLY : E. L. TORRES CONSTRUCTION & TRADING,47530000.0,2/10/2023
"Improvement of Flood Control River Wall along Polo River, Barangay Tagalag, Valenzuela City",VALENZUELA CITY,J. SIMEON CONSTRUCTION,89830037.3,2/10/2023
"Improvement of Flood Control River Wall along Left Bank of Polo River, Barangay Wawang Pulo, Valenzuela City",VALENZUELA CITY,J. SIMEON CONSTRUCTION,89832638.99,2/10/2023
"Rehabilitation of Flood Control at Municipal Port, Brgy. Del Sur, Lapinig, Northern Samar",NORTHERN SAMAR,CDU CONSTRUCTION,49491713.8,2/9/2023
"Construction of Flood Control at Brgy. 7 to Brgy. San Vicente Protecting National Road and Bridges, Quinapondan, Eastern Samar",EASTERN SAMAR,888 ACY ENTERPRISES / JGO BUILDERS,57900000.0,2/9/2023
"Construction of Revetment Wall along Aklan River, Barangay Bakhaw Sur, Kalibo, Aklan",AKLAN,S.T. SALCEDO CONSTRUCTION CORP.(FORMERLY: SHAK CONSTRUCTION & SUPPLY),48999996.13,2/9/2023
"Construction of Revetment along Ilang-Ilang River, Brgy. Alapan Section, Imus, Cavite",CAVITE,ALMAKAR BUILDERS & METAL WORKS,90710000.0,2/9/2023
"Pasig-Marikina River Channel Improvement Project, Phase V, Contract Package 8 - River Improvement Works along Upper Marikina River (Upstream of Marikina Bridge) Sta. 19+571.86 to 19+601.86, Left Bank, Marikina City",MARIKINA CITY,11-16 CONSTRUCTION,54988500.69,2/9/2023
"Construction of Box Culvert, Barangay Madreliño, Cortes, Surigao del Sur",SURIGAO DEL SUR,SURIGAO LA SUERTE CORPORATION,6011284.2,2/8/2023
"Construction of Revetment Wall at Calajunan Creek, Arevalo, Iloilo City",ILOILO,"WOODLAND CONSTRUCTION & SUPPLY, INC.",52330984.82,2/8/2023
"Construction of Riverwall along Malabon-Tullahan River (Phase 3), Brgy. Potrero, Malabon City",MALABON CITY,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,48999339.55,2/8/2023
"Construction of Riverwall along Malabon-Tullahan River (Phase 4), Brgy. Potrero, Malabon City",MALABON CITY,ST. TIMOTHY CONSTRUCTION CORPORATION,48999075.67,2/8/2023
"Construction of Revetment along Padada - Mainit River (Tanwalang Section), Davao del Sur",DAVAO DEL SUR,VICENTE T. LAO CONSTRUCTION,67550000.0,2/7/2023
"Construction of Flood Control Structures in Pantingan River Upstream, Pilar, Bataan",BATAAN,BET CONSTRUCTION & SUPPLY,93660970.0,2/7/2023
"Construction of Flood Control Dike along Kabuayan Creek, Burgos, Ilocos Norte",ILOCOS NORTE,ASIAN PEARL CONSTRUCTION & DEVT. CORP.,48251876.53,2/7/2023
"Rehabilitation of Drainage Canal with Sidewalk and Steel Railings near Tiongan Residence towards Alip Residence at Sadiad, Balili, La Trinidad, Benguet",BENGUET,8-10 NEHEMIAH CONSTRUCTION,2934796.4,2/7/2023
"Construction of Flood Mitigation Structure along Banga River (Kapingkong Section), Isulan, Sultan Kudarat",SULTAN KUDARAT,CS CONST. AND SUPPLY INC. (FORMERLY: CS CONSTRUCTION AND SUPPLY),37697510.48,2/6/2023
"Construction of Flood Control Structure, Sitio Balanacan, Brgy. Udtong, Lambayong, Sultan Kudarat",SULTAN KUDARAT,VICENTE T. LAO CONSTRUCTION,35747834.15,2/6/2023
"Construction of Flood Control and Drainage at Poblacion, Sta. 0+000.00 - Sta. 1+600.00, Tubod, Lanao del Norte",LANAO DEL NORTE,LANAO BUILDER AND ENTERPRISES,49000000.0,2/6/2023
"Rehabilitation of Seawall at the Crab Hotel, Centro, Buguey, Cagayan",CAGAYAN,RPF CONSTRUCTION,19019000.0,2/6/2023
"Construction of Seawall Centro Norte, Buguey, Cagayan",CAGAYAN,AGAFER CONSTRUCTION AND TRADING CORPORATION (FOR: AGAFER CONSTRUCTION AND TRADING),47530000.0,2/6/2023
"Construction of Gamay Flood Control Structure and Drainage System, Gamay River Basin, Gamay, Northern Samar",NORTHERN SAMAR,MIK AND MEL CONSTRUCTION AND SUPPLY / CDU CONSTRUCTION,48900935.42,2/5/2023
"Construction of Dungca-an Flood Control Structure, (Mouth Section Baybay Side), Baybay City, Leyte",LEYTE,RJIR ENTERPRISES CORPORATION,48402432.51,2/5/2023
"Construction of Buluangan River Control, Guimbal, Iloilo",ILOILO,"GOOD FORTUNE INTERNATIONAL, INC.",9784658.85,2/5/2023
"Rehabilitation of Drainage System along Barangay VI, Barangay VII, Barangay Linnga, Barangay Milagros and Barangay Mapagong, Calamba City, Laguna",LAGUNA,FOURTH GENERATION T CONSTRUCTION,7408126.25,2/5/2023
"Construction of Flood Control Project along Ilagan River (Sta. 0+000 - Sta. 0+190), Brgy. Aggasian, City of Ilagan, Isabela",ISABELA,EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),44050000.0,2/5/2023
"Construction of Flood Mitigation Structure along Cagayan River (Sta. 0+000 - Sta. 0+150), Bagutari, Sto. Tomas, Isabela",ISABELA,DRAGON TWELVE BUILDERS & CONSTRUCTION SUPPLY,44072412.5,2/5/2023
"Construction of Revetment, Downstream and Upstream of Manuto Bridge (B01380MN) along Bukidnon - Davao City Road, Bukidnon",BUKIDNON,PYRAMID CONSOLIDATED BUILDERS & GEN. MDSE.,67550000.0,2/4/2023
"Construction of Road Slope Protection along Road Leading to Limasawa Heritage Site, Limasawa, Southern Leyte",SOUTHERN LEYTE,"B. VICENCIO BUILDERS (BVB), INC. (FORMERLY:B. VICENCIO CONSTRUCTION) / JGO BUILDERS",96500000.0,2/4/2023
"Construction of Flood Control Structure of Buluangan River (Downstream) along Bacolod North Road - San Carlos City, Negros Occidental",NEGROS OCCIDENTAL,JAIME B. CHING ENTERPRISES,33775000.0,2/4/2023
"Construction of Concrete Revetment along Talomo River, Calinan District, Davao City",DAVAO DEL SUR,ST. TIMOTHY CONSTRUCTION CORPORATION,93749272.96,2/3/2023
"Construction of Tupsan River Control along Tupsan Bridge, K9+000 - K9+561 Bothsides, Mambajao, Camiguin",CAMIGUIN,JAPUZ-JANSOL ENTERPRISES,49000000.0,2/3/2023
"Closing of Remaining Gaps along Malabon-Tullahan River (Potrero Section), Malabon City",MALABON CITY,"A.L. SALAZAR CONSTRUCTION, INC.",90696775.43,2/3/2023
"Construction of Malasila River Flood Control L/S , Brgy. Sta. Filomina and Brgy. Poblacion Section, Makilala, North Cotabato",COTABATO (NORTH COTABATO),LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON,49000000.0,2/2/2023
"Construction of Tagum-Libuganon Flood Control Structure, Mabantao Section, Kapalong, Davao del Norte",DAVAO DEL NORTE,"TAGUM BUILDERS CONTRACTORS CORP. (FORMERLY: TAGUM / THREE W BUILDERS, INC.",96417657.68,2/2/2023
"Construction of Buhangin River Bank Slope Protection (Upstream of Taburda Bridge) along Vallehermoso - Canla-on City-La Castallena Road, Negros Occidental",NEGROS OCCIDENTAL,JAIME B. CHING ENTERPRISES,96500000.0,2/2/2023
"Construction of Bagtang - Maroroy Flood Control System (both sides), Daraga, Albay",ALBAY,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,96497819.97,2/2/2023
"Construction of Flood Control (Box Culvert) at Zone III A, Barangay Lumbangan, Zamboanga City, Zamboanga del Sur",ZAMBOANGA DEL SUR,AYESHIA GENERAL TRADING CONSTRUCTION AND MAINTENANCE,4937068.47,2/2/2023
"Construction of Revetment, Downstream and Upstream of Camp I Bridge along Maramag River, Barangay Camp I, Maramag, Bukidnon",BUKIDNON,PYRAMID CONSOLIDATED BUILDERS & GEN. MDSE.,39200000.0,2/1/2023
"Construction of Revetment, Downstream and Upstream of Apolang Bridge (B01389MN) along Kibawe-Kadingilan-Kalilangan Road, Bukidnon",BUKIDNON,PYRAMID CONSOLIDATED BUILDERS & GEN. MDSE.,57900000.0,2/1/2023
"Construction of Shore Protection in Sunset Boulevard, Dapitan City",ZAMBOANGA DEL NORTE,WESTMIN ENTERPRISES & CONSTRUCTION SERVICES,14847933.19,2/1/2023
"Construction of Flood Control Structure, Brgy. Zarah, San Luis, Aurora",AURORA,RADIANCE TRADERS & BUILDERS,27929140.36,2/1/2023
"Construction of Bagar Flood Control, Candon City, Ilocos Sur",ILOCOS SUR,FIRST NORTHWAY DEVELOPMENT & CONSTRUCTION CORP.,9505911.18,2/1/2023
"Construction of Langlangca 2nd Flood Control and Drainage Canal, Candon City, Ilocos Sur",ILOCOS SUR,M.V. SABALBURO CONSTRUCTION AND SUPPLY,9506079.06,2/1/2023
"Construction of Revetment along Hijo River, Barangay Dumlan, Maco, Davao de Oro",DAVAO DE ORO,"DREIRICH BUILDERS / THREE W BUILDERS, INC.",67549964.53,01/31/2023
"Construction of Flood Control Structure of Malogo River (Both Stream) along Bacolod North Rd, Abut. ""A"", EB. Magalona, Negros Occidental",NEGROS OCCIDENTAL,SUPREME ABF CONST. & CONST. SUPPLY COMPANY INC.,91673000.19,01/31/2023
"Construction of Revetment along Imus River, Phase I, Brgy. Tubuan 1, Silang, Cavite",CAVITE,SELPHAR CONSTRUCTION / N.B. AVILA CONSTRUCTION,96499745.3,01/31/2023
"Rehabilitation of Existing Dike along Lucung River (Magao Section, Right Bank), Concepcion, Tarlac",TARLAC,11-16 CONSTRUCTION,50168947.82,01/31/2023
"Construction of Flood Mitigation Structure along Bued River, Brgy. Anonang, San Fabian, Pangasinan, Phase I",PANGASINAN,BET CONSTRUCTION & SUPPLY,101325000.0,01/31/2023
"Construction of Oaig Daya Flood Control, Candon City, Ilocos Sur",ILOCOS SUR,FIRST NORTHWAY DEVELOPMENT & CONSTRUCTION CORP.,9505903.16,01/31/2023
"Construction of Canan Flood Control, La Paz, Abra",ABRA,ST. TIMOTHY CONSTRUCTION CORPORATION,96497818.75,01/31/2023
"Construction of Flood Control Structure, Calian, Mangudadatu, Maguindanao",MAGUINDANAO DEL SUR,LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON / RNS CONSTRUCTION ENGINEERING,80300725.51,01/30/2023
"Construction of Revetment with Floodwall in Mandalagan River, Phase 3, Bacolod City",NEGROS OCCIDENTAL,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),69163480.0,01/30/2023
"Construction of Seawall, Brgy Panique, Caramoran, Catanduanes",CATANDUANES,BICOL GOLDROCK CONSTRUCTION CORPORATION,14848757.9,01/30/2023
"Construction/Rehabilitation of Pawili River Flood Mitigation Structure, Brgy. San Jose and Brgy. Bagumbayan, Bula, Camarines Sur",CAMARINES SUR,RAMARPLUS INCORPORATED (FORMERLY RAMAR ENTERPRISES,97103902.58,01/30/2023
"Construction of Flood Control Structure, Salugan Section, Camalig, Albay",ALBAY,KENZAI BUILDERS CORPORATION / JCM AMEG BUILDERS CORPORATION (FORMERLY: AMEG CONSTRUCTION & SUPPLY),97998183.09,01/30/2023
"Construction of Flood Control Structure, San Jose, Candon City, Ilocos Sur",ILOCOS SUR,FIRST NORTHWAY DEVELOPMENT & CONSTRUCTION CORP.,9799414.09,01/30/2023
"Construction of San Isidro-San Nicolas Flood Control Structure, Brgys. San Isidro, San Nicolas, Candon City, Ilocos Sur",ILOCOS SUR,FIRST NORTHWAY DEVELOPMENT & CONSTRUCTION CORP.,4899852.87,01/30/2023
"Construction of San Jose-San Isidro-San Nicolas-Darapidap Flood Control, Candon City, Ilocos Sur",ILOCOS SUR,ARM-ASIA CONSTRUCTION & ENGINEERING,19599909.79,01/30/2023
"Construction of Baybayabas Flood Control, Barangay Baybayabas, Santiago, Ilocos Sur",ILOCOS SUR,FIRST NORTHWAY DEVELOPMENT & CONSTRUCTION CORP.,4897213.84,01/30/2023
"Construction of Drainage of National Center for Mental Health Roads, Mandaluyong City",MANDALUYONG CITY,5.J.B.P. PREMIUM CONSTRUCTION CORPORATION,27918834.88,01/30/2023
"Construction of Revetment along Hijo River, Sta. 0+550.07 - Sta. 1+837.070 (RS), Sta. 1+547.930 - Sta. 1+870.930 (LS), Brgy. Elizalde, Maco, Davao de Oro",DAVAO DE ORO,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,48999917.26,01/29/2023
"Construction of River Control, along Timayog Bridge II, K45 + 000 - K45 + 190, K45+209.50 - K45+388, Catarman, Camiguin",CAMIGUIN,JEJOR'S CONSTRUCTION CORPORATION,49000000.0,01/29/2023
